epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9173.72,0.37614,1.18239,0.94539,0.41477,0.79167,0.65094,0.56974,0.58716,1.93056,1.02288,0.0007294,0.0007294,0.0007294
43,9400.97,0.34757,1.11903,0.92814,0.58658,0.57244,0.6725,0.61056,0.51311,1.61396,0.97847,0.0007228,0.0007228,0.0007228
44,9609.91,0.34526,1.1095,0.92906,0.55709,0.6751,0.70654,0.57958,0.61889,1.74373,1.14401,0.0007162,0.0007162,0.0007162
45,9819.56,0.33063,1.04779,0.92568,0.61629,0.60453,0.71814,0.61852,0.5825,1.49229,1.09145,0.0007096,0.0007096,0.0007096
46,10085.4,0.36771,1.13476,0.9417,0.60932,0.74829,0.7581,0.65679,0.64709,1.62543,1.24989,0.000703,0.000703,0.000703
47,10325.9,0.3414,1.09268,0.94387,0.551,0.62022,0.70894,0.62489,0.52687,1.68017,1.08968,0.0006964,0.0006964,0.0006964
48,10568.3,0.33647,1.04099,0.92499,0.62641,0.67415,0.69539,0.52691,0.70332,2.14764,1.23286,0.0006898,0.0006898,0.0006898
49,10811.5,0.34352,1.11634,0.93224,0.68935,0.7068,0.71974,0.64416,0.57788,1.67401,1.0875,0.0006832,0.0006832,0.0006832
50,11058.2,0.35912,1.05149,0.94144,0.57306,0.7416,0.71665,0.63149,0.57507,1.73967,1.17013,0.0006766,0.0006766,0.0006766
51,11307.1,0.3488,1.05647,0.92149,0.67131,0.66398,0.76332,0.67867,0.56583,1.48607,1.10992,0.00067,0.00067,0.00067
52,11557.3,0.34983,1.05234,0.94532,0.76166,0.68801,0.82131,0.73254,0.54651,1.6183,1.02988,0.0006634,0.0006634,0.0006634
53,11814.5,0.33312,1.03906,0.9327,0.56958,0.76372,0.75378,0.64522,0.6889,1.9103,1.15656,0.0006568,0.0006568,0.0006568
54,12046.9,0.35046,1.02928,0.92894,0.41763,0.61536,0.54361,0.47854,0.56762,2.37126,1.05058,0.0006502,0.0006502,0.0006502
55,12284.4,0.34992,1.0179,0.93743,0.69739,0.64131,0.72746,0.64461,0.55253,1.68507,1.03649,0.0006436,0.0006436,0.0006436
56,12535,0.32443,0.95969,0.93091,0.79591,0.62554,0.7235,0.63588,0.58055,2.11118,1.08102,0.000637,0.000637,0.000637
57,12786.9,0.33111,0.99107,0.93745,0.67002,0.70278,0.76273,0.66072,0.56467,1.60063,1.06319,0.0006304,0.0006304,0.0006304
58,13031,0.33701,0.94395,0.93105,0.56606,0.82299,0.80533,0.71121,0.58341,1.44727,1.10811,0.0006238,0.0006238,0.0006238
59,13272.4,0.32512,0.95288,0.93866,0.54685,0.69683,0.67973,0.60615,0.53659,1.54963,1.01408,0.0006172,0.0006172,0.0006172
60,13494.3,0.31498,0.88541,0.91526,0.76016,0.66391,0.75951,0.70614,0.46873,1.66605,0.96208,0.0006106,0.0006106,0.0006106
61,13714.1,0.32237,0.89905,0.92665,0.78656,0.75455,0.85905,0.77651,0.54151,1.33046,1.06502,0.000604,0.000604,0.000604
62,13952.1,0.32931,0.89825,0.94225,0.70685,0.79298,0.79997,0.71144,0.54191,1.34723,1.06567,0.0005974,0.0005974,0.0005974
63,14142.9,0.33365,0.91664,0.9383,0.80856,0.82693,0.88771,0.7046,0.72147,1.34638,1.25702,0.0005908,0.0005908,0.0005908
64,14332.8,0.34065,0.90392,0.93047,0.74435,0.75339,0.77484,0.61911,0.71922,1.42005,1.2247,0.0005842,0.0005842,0.0005842
